name,count,log_scores,crime_rate
MALVERN,214,1.6917,6899.756469059524
HEATHERTON,12,0.0,4865.661961317009
FAIRFIELD,57,0.8473,10769.277615939747
ALBERT PARK,207,1.3157,8653.710247349823
TOORAK,265,0.7151,6899.756469059524
SUNSHINE NORTH,68,2.539,6492.137566238967
BRUNSWICK,798,0.5315,6045.398266611638
SOUTH MELBOURNE,561,1.2958,8653.710247349823
HUNTINGDALE,6,1.0986,4140.40594371167
BRIGHTON EAST,363,0.2744,3643.655763446149
HILLSIDE,226,0.7641,4982.994391020528
ST KILDA WEST,86,0.3567,8653.710247349823
ASCOT VALE,175,0.9163,5237.599993744282
FITZROY NORTH,327,0.6251,10769.277615939747
BAYSWATER,179,0.6678,5216.815867355379
CHIRNSIDE PARK,134,0.9163,3482.8953108305464
NARRE WARREN,158,0.6257,4335.833193799406
MCKINNON,103,1.453,3399.888208607937
COLLINGWOOD,467,1.0532,10769.277615939747
BOX HILL,159,0.4136,3685.6682331040433
MENZIES CREEK,4,0.6931,3482.8953108305464
ALTONA,175,1.1331,5003.628070902872
EPPING,279,0.5898,5082.795246325933
FERNTREE GULLY,261,0.7927,5216.815867355379
CAMPBELLFIELD,39,0.8473,6817.47283795467
CRAIGIEBURN,308,0.9462,6817.47283795467
OAKLEIGH,94,0.5878,4140.40594371167
MENTONE,174,0.5031,4865.661961317009
CHELSEA,62,0.47,4865.661961317009
PASCOE VALE,108,0.452,6045.398266611638
NOBLE PARK,205,0.7591,8203.788216311244
EAST MELBOURNE,702,0.8873,15827.16034855055
ROXBURGH PARK,89,1.9648,6817.47283795467
LILYDALE,66,0.636,3482.8953108305464
BLACKBURN NORTH,23,0.6931,3685.6682331040433
WERRIBEE SOUTH,57,1.4816,4236.219362217122
BRUNSWICK WEST,227,0.7885,6045.398266611638
FOREST HILL,77,0.8755,3685.6682331040433
KEW,210,0.8873,3105.538670299908
SOUTH MORANG,354,0.6144,5082.795246325933
KILSYTH,60,0.0,3482.8953108305464
DEER PARK,63,0.1625,6492.137566238967
SEDDON,82,0.0,7202.33731274689
YARRA JUNCTION,14,0.6931,3482.8953108305464
BUNDOORA,301,0.6036,5082.795246325933
RESERVOIR,392,0.2056,7068.9132412180015
RINGWOOD,239,0.9163,5009.446969310116
KEYSBOROUGH,215,0.7206,8203.788216311244
POINT COOK,333,0.6686,4236.219362217122
TARNEIT,209,0.9537,4236.219362217122
TAYLORS LAKES,183,0.821,6492.137566238967
MULGRAVE,217,0.0351,4140.40594371167
MAIDSTONE,150,0.7103,7202.33731274689
TEMPLESTOWE,82,0.0741,2924.116390987029
PRINCES HILL,54,1.2528,10769.277615939747
TULLAMARINE,101,0.4419,6817.47283795467
DONVALE,44,1.1451,2924.116390987029
GLEN WAVERLEY,339,0.6701,4140.40594371167
CAIRNLEA,32,1.0986,6492.137566238967
THORNBURY,260,0.6787,7068.9132412180015
CRANBOURNE WEST,79,0.6131,4335.833193799406
WESTMEADOWS,38,0.5108,6817.47283795467
MALVERN EAST,334,0.7329,6899.756469059524
BURWOOD EAST,88,0.7376,3685.6682331040433
MERNDA,276,0.6549,5082.795246325933
CARRUM DOWNS,261,0.7047,7562.480172018753
BROADMEADOWS,195,0.3438,6817.47283795467
KINGSVILLE,20,1.6094,7202.33731274689
PAKENHAM,279,0.5741,3992.718446601942
ROWVILLE,294,0.4947,5216.815867355379
HAMPTON,329,-0.4285,3643.655763446149
CROYDON HILLS,41,0.8303,5009.446969310116
DOVETON,69,0.7538,4335.833193799406
BLACKBURN,101,-0.0488,3685.6682331040433
HAWTHORN EAST,344,0.8473,3105.538670299908
WARRANDYTE,184,0.2329,2924.116390987029
FAWKNER,74,0.5878,6045.398266611638
HIGHETT,86,0.8602,3643.655763446149
COBURG NORTH,110,0.619,6045.398266611638
SUNBURY,515,0.4552,6817.47283795467
DOREEN,93,0.4925,2762.507506813877
MURRUMBEENA,57,0.6931,3399.888208607937
SUNSHINE WEST,413,0.5254,6492.137566238967
ENDEAVOUR HILLS,117,0.4796,4335.833193799406
WEST FOOTSCRAY,122,0.891,7202.33731274689
SPRINGVALE,93,0.2877,8203.788216311244
KNOXFIELD,57,0.6931,5216.815867355379
COBURG,232,0.55,6045.398266611638
SPRINGVALE SOUTH,71,0.6419,8203.788216311244
OFFICER,33,1.204,3992.718446601942
ELWOOD,263,0.5428,8653.710247349823
VIEWBANK,28,1.5405,5660.449795373051
DANDENONG,263,0.586,8203.788216311244
FRASER RISE,14,1.2528,4982.994391020528
MILL PARK,217,1.2068,5082.795246325933
RIDDELLS CREEK,36,0.0741,3089.8193893253424
BULLEEN,408,0.928,2924.116390987029
ST KILDA EAST,181,0.8565,8653.710247349823
WATSONIA,33,0.8873,5660.449795373051
FRANKSTON SOUTH,215,0.5293,7562.480172018753
HALLAM,72,0.6451,4335.833193799406
ESSENDON,254,0.5653,5237.599993744282
DELAHEY,47,0.1823,6492.137566238967
PANTON HILL,33,0.1823,2762.507506813877
RAVENHALL,22,1.2528,4982.994391020528
WOLLERT,77,0.8528,5082.795246325933
WHITTLESEA,18,0.7885,5082.795246325933
BROOKFIELD,83,0.08,4982.994391020528
PASCOE VALE SOUTH,96,1.1314,6045.398266611638
ALBANVALE,26,0.6931,6492.137566238967
CRANBOURNE,133,0.8842,4335.833193799406
HURSTBRIDGE,17,1.2993,2762.507506813877
LALOR,71,1.23,5082.795246325933
ALBION,27,1.0986,6492.137566238967
DINGLEY VILLAGE,66,1.2528,4865.661961317009
BORONIA,97,1.2685,5216.815867355379
NUNAWADING,47,1.8718,3685.6682331040433
MELTON WEST,41,1.6094,4982.994391020528
AVALON,21,1.5041,6719.6104941379845
FOOTSCRAY,439,0.9775,7202.33731274689
BERWICK,209,0.47,4335.833193799406
CAULFIELD EAST,178,0.6061,3399.888208607937
BEACONSFIELD,31,0.8109,3992.718446601942
ABBOTSFORD,360,1.2264,10769.277615939747
MACLEOD,134,0.6429,5660.449795373051
RESEARCH,20,0.0,2762.507506813877
HADFIELD,22,0.9163,6045.398266611638
KEW EAST,59,1.204,3105.538670299908
WANTIRNA,373,0.8979,5216.815867355379
RIPPONLEA,23,1.7047,8653.710247349823
UPPER FERNTREE GULLY,59,0.5978,5216.815867355379
BONBEACH,203,0.869,4865.661961317009
AIRPORT WEST,59,0.7885,5237.599993744282
BELLFIELD,12,0.3365,5660.449795373051
MOONEE PONDS,329,0.7608,5237.599993744282
EAGLEMONT,59,1.0578,5660.449795373051
CROYDON,98,0.8363,5009.446969310116
