,id,coordinates,lang,text,neg,neu,pos,compound
133,ecfb70fd6c9797e43a24bd101e18c5d5,"{'type': 'Point', 'coordinates': [144.79386124, -37.69139879]}",en,its 1107 here in melbourne harrisoncraig so im off so good night from australia harrison love you miss you so much xx,0.056,0.666,0.278,0.8096
134,ecfb70fd6c9797e43a24bd101e19df46,"{'type': 'Point', 'coordinates': [144.97318756, -37.8220514]}",en,night tanning  royal botanical gardens  the tan httptcoyfffrumojw,0.0,1.0,0.0,0.0
135,ecfb70fd6c9797e43a24bd101e1b08e5,"{'type': 'Point', 'coordinates': [145.09830551, -37.60929104]}",en,i want to watch buffy but im upto killed by death and i cant watch it alone at night someone pls come over,0.359,0.495,0.146,-0.8977
136,ecfb70fd6c9797e43a24bd101e1b4dce,"{'type': 'Point', 'coordinates': [145.11936048, -37.93226278]}",en,my new bed spread sexy and silky  covered with roses night xx httptcoekk4gpmecy,0.0,0.779,0.221,0.5267
137,ecfb70fd6c9797e43a24bd101e1c85a6,"{'type': 'Point', 'coordinates': [144.96193945, -37.81572199]}",en,part1 ratherbe cleanbanditif you gave me a chance i would take itits a shot in the dark httptcotmphvzpxie,0.0,0.875,0.125,0.25
138,ecfb70fd6c9797e43a24bd101e1c8fc2,"{'type': 'Point', 'coordinates': [144.96217975, -37.81567118]}",en,part2 ratherbe cleanbanditif you gave me a chance i would take itits a shot in the dark httptcocrib28ypmx,0.0,0.875,0.125,0.25
139,ecfb70fd6c9797e43a24bd101e1f92f7,"{'type': 'Point', 'coordinates': [145.0478757, -37.9137226]}",en,i still have ringing in my ears from sunday night aka best night of my life bc i had eye contact with my fave person,0.0,0.747,0.253,0.7964
140,ecfb70fd6c9797e43a24bd101e202833,"{'type': 'Point', 'coordinates': [145.11693291, -37.93007038]}",en,wishing good night is the best thing to give someone at the end of their day to make them feel like they are important to us  good night,0.0,0.576,0.424,0.9349
141,ecfb70fd6c9797e43a24bd101e21f452,"{'type': 'Point', 'coordinates': [145.1553259, -37.9771633]}",en,dont know what happened last night but maybe i was drunk  its sad knowing that the world runs like this i needed those drinks,0.246,0.644,0.11,-0.6124
142,ecfb70fd6c9797e43a24bd101e289a1c,"{'type': 'Point', 'coordinates': [145.09833656, -37.64754868]}",en,re editing few my best images and this one is one of them taken in january 2013 warm summer night i httptcopbecjs9iaj,0.0,0.757,0.243,0.7269
143,ecfb70fd6c9797e43a24bd101e390cf7,"{'type': 'Point', 'coordinates': [144.89169616, -37.78495752]}",en,fondue for two blessed  desserts by night httptcou6tsvuofvy,0.0,0.642,0.358,0.5994
144,ecfb70fd6c9797e43a24bd101e3c656a,"{'type': 'Point', 'coordinates': [144.98953034, -37.92372111]}",en,because some people act like morons on a night out on the town bartendingbeforeyouwasborn httptconbkkly6hjd,0.137,0.714,0.149,0.0516
145,ecfb70fd6c9797e43a24bd101e3dd806,"{'type': 'Point', 'coordinates': [144.66531716, -37.87366604]}",en,lucky i didnt go to the big bash tonight would be a early night bowl them out for less than 57 getonred bbl04,0.0,0.877,0.123,0.4215
146,ecfb70fd6c9797e43a24bd101e404436,"{'type': 'Point', 'coordinates': [144.7702066, -37.7175548]}",en,spontaneously spending tomorrow night down mornington peninsula way and doing touristy things all day thursday hope the weather is nice,0.0,0.759,0.241,0.6908
147,ecfb70fd6c9797e43a24bd101e414974,"{'type': 'Point', 'coordinates': [144.7702122, -37.7175546]}",en,mattja absolutely just a small one night getaway should be fun ready for some walking and exercise,0.0,0.707,0.293,0.7003
148,ecfb70fd6c9797e43a24bd101e426c8f,"{'type': 'Point', 'coordinates': [144.89232417, -37.81156287]}",en,another insistent cough and again whisky proves an excellent remedy even sipped a dram during the night purely medicinal,0.0,0.821,0.179,0.5719
149,ecfb70fd6c9797e43a24bd101e428297,"{'type': 'Point', 'coordinates': [145.11832132, -37.68035739]}",en,watching football always makes me want to go for a kick why is night time a thing,0.0,0.915,0.085,0.0772
150,ecfb70fd6c9797e43a24bd101e42b584,"{'type': 'Point', 'coordinates': [144.66369142, -37.8518835]}",en,if i could i would go out for dinner ever single night ,0.0,1.0,0.0,0.0
151,ecfb70fd6c9797e43a24bd101e43344b,"{'type': 'Point', 'coordinates': [144.7863431, -37.7673266]}",en,next time their is a serb night at a club im gonna get my ethnic on and go,0.0,1.0,0.0,0.0
152,ecfb70fd6c9797e43a24bd101e44de2a,"{'type': 'Point', 'coordinates': [144.95289645, -37.81477818]}",en,this night medicine is no joke ,0.262,0.476,0.262,0.0
153,ecfb70fd6c9797e43a24bd101e465d79,"{'type': 'Point', 'coordinates': [145.19755541, -37.98114478]}",en,lesinaleavai no praaablems have an amazing night,0.2,0.455,0.345,0.3818
154,ecfb70fd6c9797e43a24bd101e46c698,"{'type': 'Point', 'coordinates': [144.89173604, -37.8524283]}",en,my friend and i are travelling to holmes chapel will you take us in for a night we are lovely aussies  haha please  mrsannetwist ,0.0,0.594,0.406,0.9062
155,ecfb70fd6c9797e43a24bd101e47b285,"{'type': 'Point', 'coordinates': [145.0479651, -37.9136445]}",en,niallofficial night niall i love you so so so much i just want to hug and kiss and you forever fook you frustrate me but sweet dreams xx,0.055,0.522,0.423,0.9078
156,ecfb70fd6c9797e43a24bd101e49d999,"{'type': 'Point', 'coordinates': [145.1974899, -37.98111008]}",en,ok thats it i need to log out night homies lol,0.0,0.615,0.385,0.6124
157,ecfb70fd6c9797e43a24bd101e4cd94e,"{'type': 'Point', 'coordinates': [144.8803302, -37.8065231]}",en,i just watched spider house on sbs on demand however spiders do crawl across your face at night its happened to me and a friend,0.058,0.817,0.125,0.4019
158,ecfb70fd6c9797e43a24bd101e4d908d,"{'type': 'Point', 'coordinates': [144.95383437, -37.81506157]}",en,brkeogh eurgggghh i wish i hadnt read this in the dark opposite the cupboard with the hiding space above it,0.105,0.766,0.129,0.128
159,ecfb70fd6c9797e43a24bd101e4ddbf2,"{'type': 'Point', 'coordinates': [145.25640044, -38.09570067]}",en,jamesyammouni good night little cunt im tired so yeah we should sleep together  mkay byee ,0.248,0.493,0.258,0.0575
160,ecfb70fd6c9797e43a24bd101e4e06fd,"{'type': 'Point', 'coordinates': [144.99600088, -37.920692]}",en,my mascara is running and i look like that clown from 5 nights at freddies,0.0,0.828,0.172,0.3612
161,ecfb70fd6c9797e43a24bd101e55873a,"{'type': 'Point', 'coordinates': [145.25761026, -38.08966754]}",en,kangurukenneth shes actually nice i like her   good night,0.0,0.379,0.621,0.802
162,ecfb70fd6c9797e43a24bd101e567885,"{'type': 'Point', 'coordinates': [144.99712814, -37.80017617]}",en,ainslie fletcher some nights stay up till dawn acrylic collage on linen 2014 belle arti prize httptcooxzccrca1n,0.0,0.829,0.171,0.5106
163,ecfb70fd6c9797e43a24bd101e59d2f2,"{'type': 'Point', 'coordinates': [145.02182504, -37.72698557]}",en,my friends website httptcox0et5qugdg went viral last night hahah congrats break that bank,0.0,0.629,0.371,0.7579
164,ecfb70fd6c9797e43a24bd101e5a881c,"{'type': 'Point', 'coordinates': [144.97212273, -37.8119912]}",en,friday night sees the return of sweet soul crossover and rocksteady from diggin the slowness todd httptcohn1tp1vmyr,0.0,0.842,0.158,0.4588
165,ecfb70fd6c9797e43a24bd101e5ac5a5,"{'type': 'Point', 'coordinates': [144.95350518, -37.79946057]}",en,i cant stop thinking about this guy every morning every afternoon every night you put a big smile on face ,0.0,0.785,0.215,0.5248
166,ecfb70fd6c9797e43a24bd101e5b938f,"{'type': 'Point', 'coordinates': [145.28866411, -38.09323819]}",en,feeling scared in the night is the worst feeling ever,0.438,0.375,0.188,-0.7184
167,ecfb70fd6c9797e43a24bd101e676810,"{'type': 'Point', 'coordinates': [144.99832914, -37.87071903]}",en,huge friday night first 68pm dj for toonarama 4 thenghhotel 103012 for boylesquegh aussiebum summer party httptcoxu2ceyuqmm,0.0,0.737,0.263,0.6124
168,ecfb70fd6c9797e43a24bd101e6917d5,"{'type': 'Point', 'coordinates': [144.95498375, -37.81325495]}",en,i met a girl last night whos from reigate but has never been in jjs smallworld notthatsmall,0.0,1.0,0.0,0.0
169,ecfb70fd6c9797e43a24bd101e6d416b,"{'type': 'Point', 'coordinates': [144.95746467, -37.80739721]}",en,entertaining the masses  the night market httptco4dupfuo0hp,0.0,0.674,0.326,0.4404
170,ecfb70fd6c9797e43a24bd101e6dad0f,"{'type': 'Point', 'coordinates': [144.95751339, -37.80742972]}",en,aaaaaaandyyyyyy  the night market  qvmnightmarket in melbourne vic httpstcoomttbahqpt,0.0,1.0,0.0,0.0
171,ecfb70fd6c9797e43a24bd101e6ecbfd,"{'type': 'Point', 'coordinates': [145.51037738, -38.06034115]}",en,while nheathershaw and mitchell are out for the night lachlans learning how to cook steak and mash httptcoaxdshhtme9,0.0,1.0,0.0,0.0
172,ecfb70fd6c9797e43a24bd101e718e04,"{'type': 'Point', 'coordinates': [144.96996271, -37.81088394]}",en,wow what a buzz opening night strictlyballroom httptcozagpwsj7qh,0.0,0.612,0.388,0.5859
173,ecfb70fd6c9797e43a24bd101e738deb,"{'type': 'Point', 'coordinates': [144.9578698, -37.82015807]}",en,great to see mphilippoussis back on the court never forget that night at heat night club all those years ago bomberphilmc fuckrafter,0.0,0.776,0.224,0.6971
174,ecfb70fd6c9797e43a24bd101e775dd2,"{'type': 'Point', 'coordinates': [144.95753161, -37.80748051]}",en,pig on a spit anyone this is where my body gravitated towards at the queen vic night market i missed httptcolsb4xqsgfz,0.109,0.891,0.0,-0.296
175,ecfb70fd6c9797e43a24bd101e79659b,"{'type': 'Point', 'coordinates': [144.95114923, -37.805346]}",en,a lovely customers sketch of wednesday night in the shop captured a moment in time that will lead to httptco2o8itsdsom,0.0,0.817,0.183,0.5859
176,ecfb70fd6c9797e43a24bd101e7d0248,"{'type': 'Point', 'coordinates': [144.74965082, -37.70082293]}",en,honesty has one of the best nights ive had during these holidays ,0.0,0.474,0.526,0.875
177,ecfb70fd6c9797e43a24bd101e7d2e4b,"{'type': 'Point', 'coordinates': [144.9931238, -37.7995243]}",en,on my way home amazing night at mca finally get to watch rafa play urghgotta go to bed asap tmr is going to be challenging,0.0,0.738,0.262,0.7783
178,ecfb70fd6c9797e43a24bd101e7db49e,"{'type': 'Point', 'coordinates': [144.96096347, -37.82646724]}",en,turn off my lightdiscover my shoes are glow in the dark,0.0,1.0,0.0,0.0
179,ecfb70fd6c9797e43a24bd101e7ed404,"{'type': 'Point', 'coordinates': [145.31933797, -38.00180967]}",en,justinbieber i wish you could sing me to sleep every night i love you goodnight xo,0.0,0.635,0.365,0.7845
180,ecfb70fd6c9797e43a24bd101e856b47,"{'type': 'Point', 'coordinates': [144.98185342, -37.86500351]}",en,stuscott24 i seen so many curly people last night  aint got nothing on my stu  yourcurlsaintloyal,0.0,1.0,0.0,0.0
181,ecfb70fd6c9797e43a24bd101e883d9c,"{'type': 'Point', 'coordinates': [144.95426441, -37.81715671]}",en,cant wait to come home and book some nights out ,0.0,1.0,0.0,0.0
182,ecfb70fd6c9797e43a24bd101e888508,"{'type': 'Point', 'coordinates': [144.92791996, -37.66450441]}",en,into the woods was amazing songs were running through my mind all night its also going to be cosplayer central,0.0,0.833,0.167,0.5859
183,ecfb70fd6c9797e43a24bd101e8985e7,"{'type': 'Point', 'coordinates': [144.98832408, -37.86322431]}",en,so last night i dreamt i wed bittermolasses at westminster abbey while macdorober sung from this moment on,0.0,1.0,0.0,0.0
184,ecfb70fd6c9797e43a24bd101e8b2e2c,"{'type': 'Point', 'coordinates': [144.9709425, -37.83425137]}",en,wheelertsn you doing game night nhlducks nhlmapleleafs,0.0,1.0,0.0,0.0
185,ecfb70fd6c9797e43a24bd101e8cb279,"{'type': 'Point', 'coordinates': [144.97873523, -37.82180145]}",en,thowbackthursday at rodlaverarena for kylieminogue aphroditelesfolies night 1 of 3 splashzone httptcog0uk0awnxs,0.0,1.0,0.0,0.0
186,ecfb70fd6c9797e43a24bd101e8e150d,"{'type': 'Point', 'coordinates': [144.97873523, -37.82180145]}",en,thowbackthursday kylieminogue at rodlaverarena night 1 of 3 gee the camera on my phone was crap httptcoblyn77gynk,0.157,0.843,0.0,-0.3818
187,ecfb70fd6c9797e43a24bd101e8e767f,"{'type': 'Point', 'coordinates': [145.14328605, -37.8918148]}",en,afatasi does anyone remember when condom commercials only aired at night and not during the dayno i wasnt allowed to watch tv lol,0.0,0.882,0.118,0.4215
188,ecfb70fd6c9797e43a24bd101e8edc82,"{'type': 'Point', 'coordinates': [144.77273359, -37.7883795]}",en,lunchtime workout because i sat on the couch and ate ice cream all last night  derrimut 247 httpstcojagfgjwaau,0.0,1.0,0.0,0.0
189,ecfb70fd6c9797e43a24bd101e95cc32,"{'type': 'Point', 'coordinates': [144.9459384, -37.7624078]}",en,so much fun at thegracedarling last night whoop whoop thanks to everyone who came out for a boogie with us aleisterjames youre my hero,0.0,0.665,0.335,0.8773
190,ecfb70fd6c9797e43a24bd101e9bd2dd,"{'type': 'Point', 'coordinates': [144.97106965, -37.77542296]}",en,staggerly just visit a supermarket late at night and youll have both,0.0,1.0,0.0,0.0
191,ecfb70fd6c9797e43a24bd101e9e00cf,"{'type': 'Point', 'coordinates': [144.99147061, -37.84646624]}",en,tomorrow night my return 111am lessthanzerobar    less than zero httptcoiihjmylzet,0.0,1.0,0.0,0.0
192,ecfb70fd6c9797e43a24bd101e9efc7a,"{'type': 'Point', 'coordinates': [145.19548693, -37.91130966]}",en,received the caldercannonsfc hall of fame function ticket today looking forward to the night alwaysacannon httptcogwfct8oe5y,0.0,0.838,0.162,0.4404
193,ecfb70fd6c9797e43a24bd101ea064b5,"{'type': 'Point', 'coordinates': [144.95684272, -37.83223264]}",en,south melbourne night markets pumping smnightmarket melbourne food foodie  south melbourne market httptcojm22fo7vqr,0.0,1.0,0.0,0.0
194,ecfb70fd6c9797e43a24bd101ea0ffb9,"{'type': 'Point', 'coordinates': [144.95797309, -37.8039145]}",en,just another thursday night in melbourne giantsjacks httptcortbtxxp7v5,0.0,1.0,0.0,0.0
195,ecfb70fd6c9797e43a24bd101ea56d7c,"{'type': 'Point', 'coordinates': [145.22553752, -37.73799466]}",en,deletes tweets from 4am last night,0.0,1.0,0.0,0.0
196,ecfb70fd6c9797e43a24bd101ea61b3b,"{'type': 'Point', 'coordinates': [144.95309465, -37.82486964]}",en, are you looking for the life you deserve the courage to change if tonight is that night httptcoabmrbcrtpc,0.0,0.842,0.158,0.4939
197,ecfb70fd6c9797e43a24bd101ea6b0f4,"{'type': 'Point', 'coordinates': [144.67011607, -37.9033241]}",en,nbc saturday night live bring norman reedus on as a host for snl httpstcou90logrgkf,0.0,1.0,0.0,0.0
198,ecfb70fd6c9797e43a24bd101ea7da3b,"{'type': 'Point', 'coordinates': [144.9699844, -37.81560738]}",en,date night lt3 httptcobvozx5kpyh,0.0,1.0,0.0,0.0
199,ecfb70fd6c9797e43a24bd101eaa0bcf,"{'type': 'Point', 'coordinates': [144.95761025, -37.8193713]}",en,night out with these style mavens mfi stylists wallflwr chrismackee  the lui bar httptcocdl6ouh34m,0.0,1.0,0.0,0.0
200,ecfb70fd6c9797e43a24bd101eaa182c,"{'type': 'Point', 'coordinates': [144.79370752, -37.69146864]}",en,good night from australia harrisoncraig have a wonderful day wherever you are love you xx,0.0,0.505,0.495,0.8957
201,ecfb70fd6c9797e43a24bd101eaa4255,"{'type': 'Point', 'coordinates': [145.01046889, -37.86218198]}",en,entrecotemelb preamppost park date night dinners youre so local its great  see you sat morn post run x,0.0,0.786,0.214,0.6557
202,ecfb70fd6c9797e43a24bd101eab275c,"{'type': 'Point', 'coordinates': [144.96998267, -37.81372462]}",en,night caps  harrys restaurant amp bar httptcothndxrfexy,0.0,1.0,0.0,0.0
203,ecfb70fd6c9797e43a24bd101eab8214,"{'type': 'Point', 'coordinates': [144.9678104, -37.81977283]}",en,always a fun night with gorgeous shoonastanes  clubaperolatfatto  fatto httptcoeeeiwsodcb,0.0,0.49,0.51,0.8074
204,ecfb70fd6c9797e43a24bd101eaefed9,"{'type': 'Point', 'coordinates': [145.0172387, -37.7399816]}",en,good night to my beautiful followers  xx,0.0,0.424,0.576,0.7783
205,ecfb70fd6c9797e43a24bd101eaf48e9,"{'type': 'Point', 'coordinates': [144.946545, -37.81129435]}",en,every part of me is in pain but tonight was the most incredible night of my life and i wouldnt trade httptcog913pjvevr,0.097,0.903,0.0,-0.2846
