name,code,lga_name11,lga_code11,total_division_c_offences,total_division_e_offences,total_division_a_offences,total_division_f_offences,reference_period,total_division_b_offences,total_division_d_offences,total_crime,lga_code18,persons_total,lga_name18,crime_rate
NARBETHONG,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
BELGRAVE,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
NARRE WARREN,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
NOTTING HILL,24970,Monash (C),24970,245,538,1036,18,2018,6124,323,8284,24970,200077,Monash (C),4140.40594371167
BELGRAVE HEIGHTS,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
NARRE WARREN EAST,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
NARRE WARREN NORTH,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
NARRE WARREN SOUTH,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
BELGRAVE SOUTH,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
BELL PARK,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
NEW GISBORNE,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
BELL POST HILL,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
NEWCOMB,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
NEWHAM,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
BELLARINE,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
NEWPORT,23110,Hobsons Bay (C),23110,117,456,754,21,2018,3218,261,4827,23110,96470,Hobsons Bay (C),5003.628070902872
NIDDRIE,25060,Moonee Valley (C),25060,223,661,845,13,2018,4586,370,6698,25060,127883,Moonee Valley (C),5237.599993744282
NOBLE PARK,22670,Greater Dandenong (C),22670,716,1861,2465,26,2018,7422,1136,13626,22670,166094,Greater Dandenong (C),8203.788216311244
NOBLE PARK NORTH,22670,Greater Dandenong (C),22670,716,1861,2465,26,2018,7422,1136,13626,22670,166094,Greater Dandenong (C),8203.788216311244
NORTH BLACKWOOD,22910,Hepburn (S),22910,16,83,126,0,2018,396,18,639,22910,15812,Hepburn (S),4041.234505438907
NORTH GEELONG,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
NORTH MELBOURNE,24600,Melbourne (C),24600,1372,2759,4028,69,2018,15254,3418,26900,24600,169961,Melbourne (C),15827.16034855055
NORTH SHORE,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
NORTH WARRANDYTE,25710,Nillumbik (S),25710,71,179,263,1,2018,1227,53,1794,25710,64941,Nillumbik (S),2762.507506813877
NORTHCOTE,21890,Darebin (C),21890,254,1005,1231,14,2018,8538,382,11424,21890,161609,Darebin (C),7068.9132412180015
RANCEBY,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
NULLA VALE,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
NUNAWADING,26980,Whitehorse (C),26980,174,516,850,13,2018,4712,229,6494,26980,176196,Whitehorse (C),3685.6682331040433
OAKLEIGH,24970,Monash (C),24970,245,538,1036,18,2018,6124,323,8284,24970,200077,Monash (C),4140.40594371167
OAKLEIGH EAST,24970,Monash (C),24970,245,538,1036,18,2018,6124,323,8284,24970,200077,Monash (C),4140.40594371167
OAKLEIGH SOUTH,24970,Monash (C),24970,245,538,1036,18,2018,6124,323,8284,24970,200077,Monash (C),4140.40594371167
NUTFIELD,25710,Nillumbik (S),25710,71,179,263,1,2018,1227,53,1794,25710,64941,Nillumbik (S),2762.507506813877
ABBOTSFORD,27350,Yarra (C),27350,390,786,1281,10,2018,7372,771,10610,27350,98521,Yarra (C),10769.277615939747
ALBION,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
NYORA,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
OAK PARK,25250,Moreland (C),25250,272,900,1430,16,2018,7913,455,10986,25250,181725,Moreland (C),6045.398266611638
OAKLANDS JUNCTION,23270,Hume (C),23270,548,2012,2439,21,2018,9605,673,15298,23270,224394,Hume (C),6817.47283795467
ORMOND,22310,Glen Eira (C),22310,150,335,700,9,2018,3738,299,5231,22310,153858,Glen Eira (C),3399.888208607937
DARLEY,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
OUTTRIM,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
OCEAN GROVE,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
OFFICER,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
OFFICER SOUTH,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
OLINDA,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
BELMONT,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
PANTON HILL,25710,Nillumbik (S),25710,71,179,263,1,2018,1227,53,1794,25710,64941,Nillumbik (S),2762.507506813877
PAKENHAM,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
PAKENHAM SOUTH,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
PAKENHAM UPPER,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
BENA,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
PARKVILLE,24600,Melbourne (C),24600,1372,2759,4028,69,2018,15254,3418,26900,24600,169961,Melbourne (C),15827.16034855055
PARK ORCHARDS,24210,Manningham (C),24210,117,278,498,1,2018,2680,96,3670,24210,125508,Manningham (C),2924.116390987029
PARKDALE,23430,Kingston (C),23430,278,971,1091,21,2018,5195,396,7952,23430,163431,Kingston (C) (Vic.),4865.661961317009
PARWAN,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
PASCOE VALE,25250,Moreland (C),25250,272,900,1430,16,2018,7913,455,10986,25250,181725,Moreland (C),6045.398266611638
PASCOE VALE SOUTH,25250,Moreland (C),25250,272,900,1430,16,2018,7913,455,10986,25250,181725,Moreland (C),6045.398266611638
PASTORIA,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
PASTORIA EAST,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
PATTERSON LAKES,23430,Kingston (C),23430,278,971,1091,21,2018,5195,396,7952,23430,163431,Kingston (C) (Vic.),4865.661961317009
PEARCEDALE,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
PENTLAND HILLS,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
PHEASANT CREEK,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
BEND OF ISLANDS,25710,Nillumbik (S),25710,71,179,263,1,2018,1227,53,1794,25710,64941,Nillumbik (S),2762.507506813877
PLENTY,25710,Nillumbik (S),25710,71,179,263,1,2018,1227,53,1794,25710,64941,Nillumbik (S),2762.507506813877
PLUMPTON,24650,Melton (S),24650,213,870,1507,8,2018,4963,248,7809,24650,156713,Melton (C),4982.994391020528
POINT COOK,27260,Wyndham (C),27260,368,1235,1949,12,2018,6741,511,10816,27260,255322,Wyndham (C),4236.219362217122
POINT LONSDALE,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
POINT WILSON,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
POOWONG,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
POOWONG EAST,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
POOWONG NORTH,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
ALEXANDRA,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
PORTARLINGTON,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
PORT MELBOURNE,24600,Melbourne (C),24600,1372,2759,4028,69,2018,15254,3418,26900,24600,169961,Melbourne (C),15827.16034855055
QUANDONG,27260,Wyndham (C),27260,368,1235,1949,12,2018,6741,511,10816,27260,255322,Wyndham (C),4236.219362217122
POWELLTOWN,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
PRAHRAN,26350,Stonnington (C),26350,411,519,856,16,2018,5638,578,8018,26350,116207,Stonnington (C),6899.756469059524
PRESTON,21890,Darebin (C),21890,254,1005,1231,14,2018,8538,382,11424,21890,161609,Darebin (C),7068.9132412180015
PRINCES HILL,27350,Yarra (C),27350,390,786,1281,10,2018,7372,771,10610,27350,98521,Yarra (C),10769.277615939747
BENLOCH,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
QUEENSCLIFF,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
RAVENHALL,24650,Melton (S),24650,213,870,1507,8,2018,4963,248,7809,24650,156713,Melton (C),4982.994391020528
BENTLEIGH,22310,Glen Eira (C),22310,150,335,700,9,2018,3738,299,5231,22310,153858,Glen Eira (C),3399.888208607937
BENTLEIGH EAST,22310,Glen Eira (C),22310,150,335,700,9,2018,3738,299,5231,22310,153858,Glen Eira (C),3399.888208607937
REEFTON,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
RINGWOOD,24410,Maroondah (C),24410,177,1104,931,5,2018,3282,387,5886,24410,117498,Maroondah (C),5009.446969310116
SANDHURST,22170,Frankston (C),22170,516,2004,1606,14,2018,5771,816,10727,22170,141845,Frankston (C),7562.480172018753
RESEARCH,25710,Nillumbik (S),25710,71,179,263,1,2018,1227,53,1794,25710,64941,Nillumbik (S),2762.507506813877
RESERVOIR,21890,Darebin (C),21890,254,1005,1231,14,2018,8538,382,11424,21890,161609,Darebin (C),7068.9132412180015
RICHMOND,27350,Yarra (C),27350,390,786,1281,10,2018,7372,771,10610,27350,98521,Yarra (C),10769.277615939747
RIDDELLS CREEK,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
RINGWOOD EAST,24410,Maroondah (C),24410,177,1104,931,5,2018,3282,387,5886,24410,117498,Maroondah (C),5009.446969310116
RINGWOOD NORTH,24410,Maroondah (C),24410,177,1104,931,5,2018,3282,387,5886,24410,117498,Maroondah (C),5009.446969310116
RIPPLEBROOK,20830,Baw Baw (S),20830,125,433,627,17,2018,1561,167,2930,20830,52015,Baw Baw (S),5632.990483514371
RIPPLESIDE,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
RIPPONLEA,25900,Port Phillip (C),25900,428,680,1257,17,2018,6639,775,9796,25900,113200,Port Phillip (C),8653.710247349823
ROCHFORD,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
ROCKBANK,24650,Melton (S),24650,213,870,1507,8,2018,4963,248,7809,24650,156713,Melton (C),4982.994391020528
ROMSEY,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
ROSANNA,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
ROWSLEY,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
ROWVILLE,23670,Knox (C),23670,519,982,1198,15,2018,5329,471,8514,23670,163203,Knox (C),5216.815867355379
ROXBURGH PARK,23270,Hume (C),23270,548,2012,2439,21,2018,9605,673,15298,23270,224394,Hume (C),6817.47283795467
RUBICON,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
RYTHDALE,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
SEABROOK,23110,Hobsons Bay (C),23110,117,456,754,21,2018,3218,261,4827,23110,96470,Hobsons Bay (C),5003.628070902872
SEAFORD,22170,Frankston (C),22170,516,2004,1606,14,2018,5771,816,10727,22170,141845,Frankston (C),7562.480172018753
SANDRINGHAM,20910,Bayside (C),20910,112,279,466,12,2018,2785,198,3852,20910,105718,Bayside (C),3643.655763446149
BERWICK,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
SEAHOLME,23110,Hobsons Bay (C),23110,117,456,754,21,2018,3218,261,4827,23110,96470,Hobsons Bay (C),5003.628070902872
SASSAFRAS,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
SCORESBY,23670,Knox (C),23670,519,982,1198,15,2018,5329,471,8514,23670,163203,Knox (C),5216.815867355379
SEVILLE,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
SEVILLE EAST,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
SEDDON,24330,Maribyrnong (C),24330,200,491,777,12,2018,4738,364,6582,24330,91387,Maribyrnong (C),7202.33731274689
SELBY,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
SHERBROOKE,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
SIDONIA,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
SILVAN,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
SKYE,22170,Frankston (C),22170,516,2004,1606,14,2018,5771,816,10727,22170,141845,Frankston (C),7562.480172018753
SMITHS GULLY,25710,Nillumbik (S),25710,71,179,263,1,2018,1227,53,1794,25710,64941,Nillumbik (S),2762.507506813877
SOMERTON,23270,Hume (C),23270,548,2012,2439,21,2018,9605,673,15298,23270,224394,Hume (C),6817.47283795467
SOMERVILLE,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
DELAHEY,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
SOUTH YARRA,26350,Stonnington (C),26350,411,519,856,16,2018,5638,578,8018,26350,116207,Stonnington (C),6899.756469059524
SOUTHBANK,24600,Melbourne (C),24600,1372,2759,4028,69,2018,15254,3418,26900,24600,169961,Melbourne (C),15827.16034855055
SPRING HILL,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
SPOTSWOOD,23110,Hobsons Bay (C),23110,117,456,754,21,2018,3218,261,4827,23110,96470,Hobsons Bay (C),5003.628070902872
STEELS CREEK,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
BEVERIDGE,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
SPRINGVALE,22670,Greater Dandenong (C),22670,716,1861,2465,26,2018,7422,1136,13626,22670,166094,Greater Dandenong (C),8203.788216311244
SPRINGVALE SOUTH,22670,Greater Dandenong (C),22670,716,1861,2465,26,2018,7422,1136,13626,22670,166094,Greater Dandenong (C),8203.788216311244
