name,count,scores,crime_rate
WANTIRNA SOUTH,231,2.325,5216.815867355379
WINDSOR,307,3.1379,6899.756469059524
CARLTON,839,1.878,15827.16034855055
HAWTHORN,694,2.0417,3105.538670299908
LARA,104,1.9286,6719.6104941379845
SYDENHAM,73,0.8438,6492.137566238967
BRIGHTON,347,3.069,3643.655763446149
NARRE WARREN EAST,3,3.0,3482.8953108305464
PORT MELBOURNE,356,4.4,15827.16034855055
NARRE WARREN SOUTH,114,1.5882,4335.833193799406
IVANHOE EAST,9,3.5,5660.449795373051
LAVERTON,235,3.1,5003.628070902872
MOUNT WAVERLEY,272,3.0323,4140.40594371167
IVANHOE,72,3.5,5660.449795373051
THOMASTOWN,379,1.938,5082.795246325933
CLIFTON HILL,120,3.2308,10769.277615939747
CARNEGIE,133,2.1579,3399.888208607937
FITZROY,964,2.2317,10769.277615939747
MELBOURNE AIRPORT,667,1.9,6817.47283795467
GLEN IRIS,175,2.0435,3105.538670299908
MALVERN,214,5.4286,6899.756469059524
HEATHERTON,12,1.0,4865.661961317009
FAIRFIELD,57,2.3333,10769.277615939747
ALBERT PARK,207,3.7273,8653.710247349823
TOORAK,265,2.0444,6899.756469059524
SUNSHINE NORTH,68,12.6667,6492.137566238967
BRUNSWICK,798,1.7015,6045.398266611638
SOUTH MELBOURNE,561,3.6538,8653.710247349823
HUNTINGDALE,6,3.0,4140.40594371167
BRIGHTON EAST,363,1.3158,3643.655763446149
HILLSIDE,226,2.1471,4982.994391020528
ST KILDA WEST,86,1.4286,8653.710247349823
ASCOT VALE,175,2.5,5237.599993744282
FITZROY NORTH,327,1.8684,10769.277615939747
BAYSWATER,179,1.95,5216.815867355379
CHIRNSIDE PARK,134,2.5,3482.8953108305464
NARRE WARREN,158,1.8696,4335.833193799406
MCKINNON,103,4.2759,3399.888208607937
COLLINGWOOD,467,2.8667,10769.277615939747
BOX HILL,159,1.5122,3685.6682331040433
MENZIES CREEK,4,2.0,3482.8953108305464
ALTONA,175,3.1053,5003.628070902872
EPPING,279,1.8036,5082.795246325933
FERNTREE GULLY,261,2.2093,5216.815867355379
CAMPBELLFIELD,39,2.3333,6817.47283795467
CRAIGIEBURN,308,2.5758,6817.47283795467
OAKLEIGH,94,1.8,4140.40594371167
MENTONE,174,1.6538,4865.661961317009
CHELSEA,62,1.6,4865.661961317009
PASCOE VALE,108,1.5714,6045.398266611638
NOBLE PARK,205,2.1364,8203.788216311244
EAST MELBOURNE,702,2.4286,15827.16034855055
ROXBURGH PARK,89,7.1333,6817.47283795467
LILYDALE,66,1.8889,3482.8953108305464
BLACKBURN NORTH,23,2.0,3685.6682331040433
WERRIBEE SOUTH,57,4.4,4236.219362217122
BRUNSWICK WEST,227,2.2,6045.398266611638
FOREST HILL,77,2.4,3685.6682331040433
KEW,210,2.4286,3105.538670299908
SOUTH MORANG,354,1.8485,5082.795246325933
KILSYTH,60,1.0,3482.8953108305464
DEER PARK,63,1.1765,6492.137566238967
SEDDON,82,1.0,7202.33731274689
YARRA JUNCTION,14,2.0,3482.8953108305464
BUNDOORA,301,1.8286,5082.795246325933
RESERVOIR,392,1.2283,7068.9132412180015
RINGWOOD,239,2.5,5009.446969310116
KEYSBOROUGH,215,2.0556,8203.788216311244
POINT COOK,333,1.9516,4236.219362217122
TARNEIT,209,2.5952,4236.219362217122
TAYLORS LAKES,183,2.2727,6492.137566238967
MULGRAVE,217,1.0357,4140.40594371167
MAIDSTONE,150,2.0345,7202.33731274689
TEMPLESTOWE,82,1.0769,2924.116390987029
PRINCES HILL,54,3.5,10769.277615939747
TULLAMARINE,101,1.5556,6817.47283795467
DONVALE,44,3.1429,2924.116390987029
GLEN WAVERLEY,339,1.9545,4140.40594371167
CAIRNLEA,32,3.0,6492.137566238967
THORNBURY,260,1.9714,7068.9132412180015
CRANBOURNE WEST,79,1.8462,4335.833193799406
WESTMEADOWS,38,1.6667,6817.47283795467
MALVERN EAST,334,2.0811,6899.756469059524
BURWOOD EAST,88,2.0909,3685.6682331040433
MERNDA,276,1.925,5082.795246325933
CARRUM DOWNS,261,2.0233,7562.480172018753
BROADMEADOWS,195,1.4103,6817.47283795467
KINGSVILLE,20,5.0,7202.33731274689
PAKENHAM,279,1.7755,3992.718446601942
ROWVILLE,294,1.64,5216.815867355379
HAMPTON,329,0.6515,3643.655763446149
CROYDON HILLS,41,2.2941,5009.446969310116
DOVETON,69,2.125,4335.833193799406
BLACKBURN,101,0.9524,3685.6682331040433
HAWTHORN EAST,344,2.3333,3105.538670299908
WARRANDYTE,184,1.2623,2924.116390987029
FAWKNER,74,1.8,6045.398266611638
HIGHETT,86,2.3636,3643.655763446149
COBURG NORTH,110,1.8571,6045.398266611638
SUNBURY,515,1.5765,6817.47283795467
DOREEN,93,1.6364,2762.507506813877
MURRUMBEENA,57,2.0,3399.888208607937
SUNSHINE WEST,413,1.6912,6492.137566238967
ENDEAVOUR HILLS,117,1.6154,4335.833193799406
WEST FOOTSCRAY,122,2.4375,7202.33731274689
SPRINGVALE,93,1.3333,8203.788216311244
KNOXFIELD,57,2.0,5216.815867355379
COBURG,232,1.7333,6045.398266611638
SPRINGVALE SOUTH,71,1.9,8203.788216311244
OFFICER,33,3.3333,3992.718446601942
ELWOOD,263,1.7209,8653.710247349823
VIEWBANK,28,4.6667,5660.449795373051
DANDENONG,263,1.7967,8203.788216311244
FRASER RISE,14,3.5,4982.994391020528
MILL PARK,217,3.3429,5082.795246325933
RIDDELLS CREEK,36,1.0769,3089.8193893253424
BULLEEN,408,2.5294,2924.116390987029
ST KILDA EAST,181,2.3548,8653.710247349823
WATSONIA,33,2.4286,5660.449795373051
FRANKSTON SOUTH,215,1.6977,7562.480172018753
HALLAM,72,1.9062,4335.833193799406
ESSENDON,254,1.76,5237.599993744282
DELAHEY,47,1.2,6492.137566238967
PANTON HILL,33,1.2,2762.507506813877
RAVENHALL,22,3.5,4982.994391020528
WOLLERT,77,2.3462,5082.795246325933
WHITTLESEA,18,2.2,5082.795246325933
BROOKFIELD,83,1.0833,4982.994391020528
PASCOE VALE SOUTH,96,3.1,6045.398266611638
ALBANVALE,26,2.0,6492.137566238967
CRANBOURNE,133,2.4211,4335.833193799406
HURSTBRIDGE,17,3.6667,2762.507506813877
LALOR,71,3.4211,5082.795246325933
ALBION,27,3.0,6492.137566238967
DINGLEY VILLAGE,66,3.5,4865.661961317009
BORONIA,97,3.5556,5216.815867355379
NUNAWADING,47,6.5,3685.6682331040433
